id,title,rating,review
tt7737786,,6,"A film about an extinction level asteroid event which lead the protagonists and the rest of the humans to search for shelter and the chaos that comes with it.
Film is running with a good pace overall and will keep you on edge. But the script is average, the chaos created is something that you have seen in so many similar movies and the idea is far from novel. Also some of the scenes in there just dot make sense or they feel a bit stupid. Luckily most of the acting is ok, the score and the visuals are ok so it constitutes an ok movie to watch-but don't expect to be blown away with this film. 6/10"
tt7737786,,7,"Watched ""Greenland"". Doesn't add anything new to the catastrophic events genre, yet it was the perfect movie to watch amid the coronavirus pandemic. Sitting in a sparsely populated movie theater, wearing my facemask, I was thinking ""it could be so much worse!"""
tt7737786,,6,"Positive:
emotions and tension instead of pure doomsdaythe focus is on the human scale of a crisis, which makes this a realistic feeling rarity of a disaster filmstrong main actor pairNegative:
too many plot twists and always new obstacles to overcomein some moments a bit roughnot consistently convincing CGI effectsunfortunately genre-typical heroic towards the end."
tt7737786,,,"Though this story is intense, I feel very annoyed by a series of poor decisions by the lead couple. I couldn't empathise with the family, and hence couldn't get into the story."
tt7737786,,6,"A lot of these reviews talk strangely about a lack of cliches in this film but there are plenty. The sick kid, the family separated and then desperately trying to get find each other again, the count down to the end of the world, all of these are there.Some complain about the acting, but I thought it was okay. The pacing was also good which can be tricky, not too frenetic, but also not with long dull parts of people looking off meaningfully into the distance.The worst part to me was the blistering stupidity of the two groups of people trying to steal the families wrist bands to get on a flight to safety. Equal stupidity goes to the family for not just handing them over. I would have thought that such high levels of idiocy didn't exist, or at least were astonishingly uncommon, however some of the things I see people believe these days has led me to reconsider.I gave this a six out of 10 because it is easy to watch but doesn't really bear much thinking about and teaches very little."
tt7737786,,6,"A revival of those 70s disaster films is what we have in Greenland. Who would
have thought that large frozen island up north would be mankind's last hope for survival.There's a large planet destroying comet headed our way and as it hits the atmosphere it burns up and breaks up. The first fragment flattens the Tampa-St.Petersburg area with accompanying firestorms. Is tis how itended for the
dinosaurs?Apparently some plans were made for such an event because engineer Gerard Butler has been chosen in a lottery to be marked for survival. So are his
family which is wife Morena Beccarin and son Roger Dale Floyd. The best scenes
in Greenland are between these people acting and functioning as a real family not some television type family unit.You can make plans, but things often don't go to plan. Especially in a situation
where blind panic takes over. This is the drama of Greenland, one man's family
and their struggle.Nice computer generated special effects are here for those who lay their money
down to see such stuff. But a good story gets me and Greenland has a good story.Not the best of disasterfilms, still a good one."
tt7737786,,7,"A decent end of the world movie that deals with what would happen on the ground.
Follows one family, and their interactions with other desperate people.
Reasonable acting, and nice special effects.Worth watching."
tt7737786,,7,The planet is about to be destroyed by an asteroid and we only have x hours before it strikes. I expected them to call Bruce Willis again to do some off-world digging but he must be under house arrest.We're following Gerard Butler and his family as they try to get to a safe place in Greenland while the world around them turns into chaos. Other people seem to put more efforts into looting shops for toilet paper or holding end-of-the-world parties making their route a bit like the Road.Gerard trying to save his family and driving his ridiculously oversized car through meteoroids: it's all forget-about-corona-for-two-hours mindless fun!
tt7737786,,8,"Lot of end of the world movies follow the same storyline but this one had that little extra. Felt like the way they handled this was more realistic, so in a way 'scarier'. I usually like seeing a lot of the destruction and action itself but I definitely recommend watching it"
tt7737786,,7,"OK so its not a Roland Emmerich effects heavy classic. But wisely this film doesnt really want to be. Most apocalypse movies are light on character relying on shallow cliched cookie cutter players around whom the end happens. Greenland on the other hand takes a lot more effort with this. The central family is complex, likable and flawed, the time is taken to give us a chance to get to know them. There are also no 'landmark being destroyed' shots in order; you know the Statue of Liberty, arc de triomphe or Capital Hill getting creamed by a wave or a rock or a firestorm. We do get some nice afterward shots. The effects we do get are pretty good though not so great on occasion.The morass of desperate humanity is portrayed as it might be in these kinds of hopeless circumstances; people are dumb, especially in large groups, individuals are self preseving, sometimes evil and at other times generous and warm.Gerard Butler and Morena Baccarin are both solid. The script isnt terrible but does have its moments of feeling contrived and inauthentic. Sadly the edit too leaves a bit to be desired. However i think I prefer my disaster films a bit more like this than the big and dumb.Its not Shakespeare but I'm happy to recommend."
tt7737786,,1,This family was so annoying my wife and I were rooting for Clarke.
tt7737786,,8,"We went tonight, my girlfriend and I, as two people who likes this kind of movies and we loved it.English is not my native language so I will keep it short : this is a well made apocalypse movie that evolved from those made in the 90s and 00s. We can feel a contemporary vibe here and it is refreshing.What I liked : No downtime, lots of emotions and twists. Intense.What I didn't like : bad CGI at some points"
tt7737786,,7,"Yes, it's predictable... you'll see most plot turns coming because it follows the disaster movie playbook. But it still works.The acting is top class. Butler doesn't play the typical action hero here, he's just a regular guy trying to save his family, and it's way more effective. Baccarin is excellent too, getting real moments to shine instead of just screaming in the background. Everyone brings their A-game.The action and effects are good. Nothing fancy, but they get the job done and keep things tense when they need to be.Look, you know exactly what kind of movie this is going in. But when the performances are this strong and the execution is this solid, predictability doesn't really matter. It's a disaster film done right... focuses on the family, keeps you invested, delivers what it promises.Solid 7.5/10. Sometimes familiar can still be satisfying."
tt7737786,,5,"All the cool stuff is in the trailer. Everything is ""oh no! But we've been selected to be saved! Yay! Oh no! We forgot little Nathan's insulin! I'll go get it! Oh no! I've become separated from my wife and child! Are they here...? No. Are they here....? No. Are they here....? Yes! Yay! And we're saved! Oh no! We're not! Oh wait, we are! Yay!"" There. I just saved you $12."
tt7737786,,,"Stupid parents leave the diabetic son's insulin in the car. I tried to fast forward through this stupidity to get to the disaster part of the movie, 45 minutes in their still going on about being separated due to stupid parents forgot the insulin. F-this I'm out. Hollywood stop stressing me out just make a movie about people who aren't stupid."
tt7737786,,6,"In in very short words:
If you liked these kind of end of the world movies from the 90s, you gonna enjoy this one. The main cast is pretty good and even the smaller roles do a good job. The story is pretty intense and has some nice twists and surprises. Story is a bit predictable und unrealistic at times, but what do you expect? CGI effects range from okay to pretty bad at times, but it doesn't bother too much.Definitely worth a watch. 6.5 out of 10"
tt7737786,,6,"Stuff falls from the sky, there are explosions, lots of running around. It is usual disaster film fare. There's no clever story, no room for actors to stretch their ability. It starts and then progresses to a predictable conclusion. It's a film that will fill some time but will not leave a lasting impression."
tt7737786,,6,"I love these catastrophe movies where families get separated across many many miles yet somehow reunite. Power outages, no cell phones yet they always manage to find each other. This movie is a nice distraction but gosh the kid is written as a complete moron. Diabetic and knows how important his meds are but forgets them in the car. While his mom is being dragged out of a car, he just sits there and cries instead of getting out the other door. And while the world blows apart, he wants his pancakes. His parents should have left him with grandpa! 6 stars for being as suspenseful and watchable as 2012 with a fraction of the budget with more likable adult stars."
tt7737786,,7,"In the last few years Gerard Butler, sadly, has become a synonym for a movie flop. There has rarely been a movie in the last five years with Butler in it, that was not either bad or completely awful.
The last of which, to name few were, the last part of the Fallen Trilogy, ""Angel has Fallen"", the less than exciting WWII thriller ""Hunter Killer"" and one of the worst movies to be made in the last few years, ""Geostorm"".
Knowing all this I went into ""Greenland"" with a certain level of skepticism. Luckily, Butler seems to have gotten a lot smarter in his choices because ""Greenland"" is a quite entertaining motion picture.
While I am not a fan of disaster movies, mostly because they always follow the same boring concept namely, a family or gets separated for some stupid reason and tries to find each other again over the next two hours while their journey is complicated by various obstacles of human or nature kind.
""Greenland"" is no doubt a disaster movie but fortunately it is a little more exciting and creative than most of its kind over the last few years have been.
The movie begins with John Garrity (Butler) visiting his wife Allison (Morena Baccarin) and their son Nathan. John and Allison are separated but they seem to get along fine. Nathan is fascinated by the stars and the asteroid that is shooting towards earth. Soon the Garritys invite some friends over, when a presidential alert appears on their TV and phone telling them to pack some bags and drive to a close by airfield.
When they get there they are ushered in and just before they are about to board the plane the separation plot kicks in. Admittedly it's not as stupid as usual.
Now this might sound like your typical disaster movie but trust me it's not quite.
""Greenland"" is smart in how it handles it's characters and the plot is not always straight forward.
The movie tries less to create tension with the looming disaster but rather does so through the human element and the different characters the family members meet on their way.
We only get to experience what the family members do. There are no five or six main characters that each have their own agenda.
Even when they're separated, the Garritys stay the focus of the movie. They meet good and bad people along their journey and what I liked in particular was the honesty with which the director handles these characters. Many people are selfish and greedy and even in situations like this one, where working together is most important, people still only think of themselves.
The movie works also because Butler and Baccarin have a very good chemistry. They are the couple that has had hard times but still loves each other and would do anything to stay a family.
Butler is really good here. As good as he hasn't been in years. It's not a very difficult role or something that would be beyond his skillset but it is more serious and dramatic than his usual tough guy parts. Quite a few times I was happy to see that he can do more than growl and butcher an American accent. Granted, he still butchers it but at least his character is so charming and likable that we can overlook it.
The love and tenderness he shows in his face a few times is one I have never seen of him and, in a particularly important scene, we see the self loathing and disgust in his face.
I believe he always had it in him and I am glad he finally chose a movie that allowed him to bring out his full talent.
Baccarin is good too, especially on her own. She hasn't had too many major roles yet in movies but I hope she will soon. She really is a capable actress.
""Greenland"" is certainly worth watching and if you have the chance and the current situation allows it, go see it next month when it's released. It makes for a welcome change of pace."
tt7737786,,8,"Greenland is one of the best disaster movies, arriving at a time when the genre needs it most. By using its mid-sized budget to prioritise human drama over weightless CG spectacle it becomes infinitely more investing, resulting in each set incredibly tense piece being more memorable as well. The film understands that planet killing comets are scary but people who will do anything in an attempt to survive are much scarier.Gerard Butler, Morena Baccarin, and Roger Dale Floyd do a great job of bringing all the necessary heart and emotion. Butler shows a lot of vulnerability throughout and he's so likeable that the standard issue marital troubles he goes through with Baccarin don't grind proceedings to a halt, especially because you're just rooting for them to inevitably get back together. It also helps that their arguments and initial awkwardness are underplayed.Ric Roman Waugh's direction gets plenty of mileage out of all the smaller scale action. They have a suitably chaotic nature which only enhances how engaging they are and there's still enough grander shots of the planetary destruction caused by the comet to remind you of the larger than life stakes. The frenetic cinematography works wonders to keep everything at a high energy whilst going calmer for the few moments of relief."
tt7737786,,7,"Whilst the trailer suggests Greenland could be just another big, stupid Hollywood disaster flick, it's not. It's a very finely balanced mix of popcorn, family drama (with some genuinely emotional scenes) and enough explosions and apocalyptic sequences to keep fans of 2012 and Armageddon happy. The trailer is also misleading - in a good way - regarding the story structure, which pans out in an unexpected but logical direction and is well paced throughout.
Good performances, good production, good everything. This is the best film Gerard Butler has done in a while."
tt7737786,,3,"Another crappy movie where millions of people die but, hey! It doesn't matter because the three unlikable main characters got saved, after sorting out stupid situation after stupid stuation and endangering everyone else with their selfish behaviour!. And right, yeah, governments spend public money building bunkers to save engineers and their families in case a meteorite strikes Earth, and also, good Samaritans carry people on their airplanes from Canada to Greenland for free, and at first you can only get to the bunkers strictly if you are elected by said government, and people will kill you for your ticket, but then it doesn't matter anymore and you can just knock on their doors and soldiers will send a truck to pick your sorry ass...and the list of ludicrous stuff goes on and on...It makes ""2012"" look like awards material..."
tt7737786,,8,Nevermind the bad reviews! This movie is awesome. I swear people are so hard to please these days. This film definitely had my heart racing. It got extremely intense there several times. This has to be one of my favorite disaster flicks. Deep Impact eat your heart out. I highly recommend giving this movie a watch. 8 stars 👍👍
